,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,15000,edgegpu_energy,MLP10,full_features_extended,42,100,0.9812334322884739,0.0038812699135095893,0.9266257161222481,0.004564005961522404
1,6748,edgegpu_energy,MLP10,full_features_extended,42,100,0.9772305324876746,0.001944721928705398,0.9154827641069189,0.0030079409718338493
2,3036,edgegpu_energy,MLP10,full_features_extended,42,100,0.9733707987684024,0.0020697551795179733,0.905810093426644,0.002933025465056911
3,1366,edgegpu_energy,MLP10,full_features_extended,42,100,0.9638898690743433,0.002960816758096338,0.8859296315556433,0.004536066971841478
4,614,edgegpu_energy,MLP10,full_features_extended,42,100,0.9463369134512338,0.007310182858849101,0.8666084534134353,0.005978752484885894
5,276,edgegpu_energy,MLP10,full_features_extended,42,100,-4461634.707614979,44616356.26592327,0.8329608871447942,0.009835652178133753
6,124,edgegpu_energy,MLP10,full_features_extended,42,100,-15887771.548925418,76928187.8525806,0.7951005094903577,0.014717418828562612
7,55,edgegpu_energy,MLP10,full_features_extended,42,100,-84086239.00336495,198097679.9928783,0.7344404259392366,0.02542522092000102
8,25,edgegpu_energy,MLP10,full_features_extended,42,100,-87965104.96229249,169865329.43050942,0.6390489800526765,0.044485788384385425
9,11,edgegpu_energy,MLP10,full_features_extended,42,100,-56183218.22221221,102992917.38015927,0.48546023581391223,0.09564052249388932
