,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,15000,edgegpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.9132370544979542,0.013109206183673165,0.8182378126433842,0.013022955090537396
1,15000,edgegpu_energy,PCA_XGBRegressor,only_full_features,42,100,0.9183956721073155,0.011357083502637741,0.8204186739331564,0.01230042820515075
2,15000,raspi4_latency,PCA_XGBRegressor,only_full_features,42,100,0.9347032112472256,0.010438224188829111,0.835367503547775,0.01145587719629559
3,15000,edgetpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.7214487863488442,0.029031802807616258,0.7259762185785674,0.01710456672538363
4,15000,pixel3_latency,PCA_XGBRegressor,only_full_features,42,100,0.9158030390632002,0.01031074421109595,0.8317130355343978,0.009788987963450978
5,15000,eyeriss_latency,PCA_XGBRegressor,only_full_features,42,100,0.996100698274339,0.0010919475718690528,0.9438096085613604,0.004714487095165798
6,15000,eyeriss_energy,PCA_XGBRegressor,only_full_features,42,100,0.9964396646419651,0.0010025090167384277,0.9468244573580696,0.0077913859453266334
7,15000,eyeriss_arithmetic_intensity,PCA_XGBRegressor,only_full_features,42,100,0.9979014887212414,0.0006893239372779056,0.9613460335903339,0.005395449098113633
8,15000,fpga_latency,PCA_XGBRegressor,only_full_features,42,100,0.9983306830960044,0.0005640754770673545,0.9792916487510517,0.0022690774261721574
9,15000,fpga_energy,PCA_XGBRegressor,only_full_features,42,100,0.9983306830960044,0.0005640754770673544,0.9792916487510517,0.0022690774261721574
10,6748,edgegpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.8947022578654168,0.008675823543783311,0.7964861733359655,0.008177074347253416
11,6748,edgegpu_energy,PCA_XGBRegressor,only_full_features,42,100,0.8995214289615677,0.00851143053977544,0.7996018832991851,0.007972151946767387
12,6748,raspi4_latency,PCA_XGBRegressor,only_full_features,42,100,0.9194633207311387,0.005610622912312236,0.8179385874867289,0.0058926251311535805
13,6748,edgetpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.6618059114828906,0.018312012868336988,0.6937223936431226,0.011709674178994565
14,6748,pixel3_latency,PCA_XGBRegressor,only_full_features,42,100,0.902479769439414,0.005230484871962075,0.8159565401382192,0.005531976051355477
15,6748,eyeriss_latency,PCA_XGBRegressor,only_full_features,42,100,0.9883459325362687,0.0024427723914084787,0.9196422879297335,0.009283137262941237
16,6748,eyeriss_energy,PCA_XGBRegressor,only_full_features,42,100,0.9890549712672246,0.002244415962315475,0.9140151014561223,0.013096722736312232
17,6748,eyeriss_arithmetic_intensity,PCA_XGBRegressor,only_full_features,42,100,0.9924665208679236,0.002047322337337993,0.9409761449976883,0.007965933382780064
18,6748,fpga_latency,PCA_XGBRegressor,only_full_features,42,100,0.9928865190819262,0.0017511567192192035,0.9583180074734915,0.006286144977884994
19,6748,fpga_energy,PCA_XGBRegressor,only_full_features,42,100,0.9928865190819262,0.001751156719219203,0.9583180074734915,0.006286144977884994
20,3036,edgegpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.8715249064826885,0.009252916911782559,0.7776944222669269,0.005997376473391078
21,3036,edgegpu_energy,PCA_XGBRegressor,only_full_features,42,100,0.8763129994713863,0.009104376359535354,0.7811105078381746,0.005890889976605417
22,3036,raspi4_latency,PCA_XGBRegressor,only_full_features,42,100,0.9032013432794179,0.004808112337272902,0.800649662870123,0.006429666468221909
23,3036,edgetpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.6161847064846047,0.017304125356983335,0.6697860839500058,0.010976618685871459
24,3036,pixel3_latency,PCA_XGBRegressor,only_full_features,42,100,0.8873647944430914,0.004419359683663896,0.7997228367811104,0.005594295144823371
25,3036,eyeriss_latency,PCA_XGBRegressor,only_full_features,42,100,0.9792227719616585,0.003622418000505445,0.8992221379455212,0.011090767033764503
26,3036,eyeriss_energy,PCA_XGBRegressor,only_full_features,42,100,0.9797579364992067,0.003624894376128528,0.8890902578692874,0.014002828989814944
27,3036,eyeriss_arithmetic_intensity,PCA_XGBRegressor,only_full_features,42,100,0.9832226215015798,0.004300300786826268,0.9213377313813652,0.011014949283447541
28,3036,fpga_latency,PCA_XGBRegressor,only_full_features,42,100,0.9847076244336622,0.003862382548924726,0.9365610937649376,0.011170942638036694
29,3036,fpga_energy,PCA_XGBRegressor,only_full_features,42,100,0.9847076244336622,0.0038623825489247296,0.9365610937649376,0.011170942638036694
30,1366,edgegpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.8444519692409603,0.013666022785697169,0.7596053726941215,0.008214097222147342
31,1366,edgegpu_energy,PCA_XGBRegressor,only_full_features,42,100,0.8493510185605347,0.013632811694697116,0.7629177523077142,0.008267604096165233
32,1366,raspi4_latency,PCA_XGBRegressor,only_full_features,42,100,0.8856905820885937,0.006473990685030719,0.7830516826953694,0.006994162474729831
33,1366,edgetpu_latency,PCA_XGBRegressor,only_full_features,42,100,0.5782652863899989,0.01837522740400076,0.6492730536772349,0.011780234043615957
34,1366,pixel3_latency,PCA_XGBRegressor,only_full_features,42,100,0.8705292334517131,0.005919643508037304,0.782663249204794,0.006309372524402286
35,1366,eyeriss_latency,PCA_XGBRegressor,only_full_features,42,100,0.9661872623004577,0.005213268361441657,0.8812504880523426,0.010517898662598696
36,1366,eyeriss_energy,PCA_XGBRegressor,only_full_features,42,100,0.9666239622794696,0.004817507918476385,0.869635616223255,0.0111050627925737
37,1366,eyeriss_arithmetic_intensity,PCA_XGBRegressor,only_full_features,42,100,0.9683801700894442,0.0076066341519295455,0.8972239649735214,0.012329701973782229
