,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,15000,edgegpu_latency,Linear,only_one_hot,42,1000,0.8735314322410361,0.01673959529569955,0.832325336173077,0.007332972454781813
1,15000,edgegpu_energy,Linear,only_one_hot,42,1000,0.8777099035626713,0.015586639567430501,0.833789093206431,0.006778529936732447
2,15000,raspi4_latency,Linear,only_one_hot,42,1000,0.9035141550618102,0.012992280441591529,0.8108329796155176,0.011404810811607059
3,15000,edgetpu_latency,Linear,only_one_hot,42,1000,0.5809532772695455,0.029221454672797305,0.6483663655153107,0.013227592034259307
4,15000,pixel3_latency,Linear,only_one_hot,42,1000,0.8926994058268972,0.012770385689693041,0.8108890094955644,0.010759982450832359
5,15000,eyeriss_latency,Linear,only_one_hot,42,1000,1.0,0.0,0.9553683614318313,0.0033543891063205706
6,15000,eyeriss_energy,Linear,only_one_hot,42,1000,1.0,0.0,0.9853840861959725,0.0009510992897397995
7,15000,eyeriss_arithmetic_intensity,Linear,only_one_hot,42,1000,0.8960759499379494,0.0061476948188903535,0.8533859571839626,0.007793543223853577
8,15000,fpga_latency,Linear,only_one_hot,42,1000,1.0,0.0,0.9869552392825626,0.0006281684037087983
9,15000,fpga_energy,Linear,only_one_hot,42,1000,1.0,0.0,0.9869546443098095,0.0006278439828893942
10,6748,edgegpu_latency,Linear,only_one_hot,42,1000,0.8738351941786282,0.003038628300927376,0.8319412863318898,0.0023320335450193685
11,6748,edgegpu_energy,Linear,only_one_hot,42,1000,0.8779609829903903,0.002860478712898513,0.8332115936432536,0.0022586793349438075
12,6748,raspi4_latency,Linear,only_one_hot,42,1000,0.9041087621130162,0.002253937113905704,0.8109015307224136,0.0018398425559793706
13,6748,edgetpu_latency,Linear,only_one_hot,42,1000,0.580657337615278,0.005067124860232531,0.6471785895316691,0.005582602315157802
14,6748,pixel3_latency,Linear,only_one_hot,42,1000,0.893490907375117,0.002201722730085916,0.8108204662838516,0.0017962347794915293
15,6748,eyeriss_latency,Linear,only_one_hot,42,1000,1.0,0.0,0.9552906433619455,0.002259513481084361
16,6748,eyeriss_energy,Linear,only_one_hot,42,1000,1.0,0.0,0.9853952947203476,0.00044884535556247005
17,6748,eyeriss_arithmetic_intensity,Linear,only_one_hot,42,1000,0.895703760895876,0.0011825025853675383,0.8527164077508669,0.0022786267378588554
