,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,15000,edgegpu_latency,MLP10,only_one_hot,42,100,0.9787593476848656,0.006818759265291965,0.9285646365495269,0.004828234904380639
1,15000,edgegpu_latency,MLP10,only_full_features,42,100,0.9723392989129346,0.00741559104221098,0.9150016578734335,0.0052817540349068106
2,15000,edgegpu_latency,MLP10,full_features_one_hot,42,100,0.9786590540864725,0.006724189242450018,0.9284663020999651,0.004834270720042374
3,15000,edgegpu_latency,MLP10,full_features_one_hot_proxies,42,100,0.9792719086599686,0.007111047427471584,0.9283754578138494,0.005821179825172125
4,15000,edgegpu_energy,MLP10,only_one_hot,42,100,0.9806439710789087,0.004246170566312346,0.9251224688775004,0.005611657680181458
5,15000,edgegpu_energy,MLP10,only_full_features,42,100,0.974441671515448,0.004831514060238623,0.9121725914531494,0.006043602881559473
6,15000,edgegpu_energy,MLP10,full_features_one_hot,42,100,0.9811075051126543,0.004194774884093466,0.9264210352887642,0.0049853424094885605
7,15000,edgegpu_energy,MLP10,full_features_one_hot_proxies,42,100,0.981514944398091,0.003990581219947754,0.9266977677557822,0.004964097304939352
8,15000,raspi4_latency,MLP10,only_one_hot,42,100,0.9762991676318081,0.0029247314737078298,0.8912495604268805,0.006437581861561775
9,15000,raspi4_latency,MLP10,only_full_features,42,100,0.9755414033591951,0.0035780664356193925,0.8908184253784353,0.006200918543717353
10,15000,raspi4_latency,MLP10,full_features_one_hot,42,100,0.9777038876709884,0.0028541325611542013,0.8933064333122519,0.006187293070240605
11,15000,raspi4_latency,MLP10,full_features_one_hot_proxies,42,100,0.9766009489995953,0.0080138880138141,0.8928637959227952,0.005962791053913119
12,15000,edgetpu_latency,MLP10,only_one_hot,42,100,0.9790395273430686,0.011506160408256591,0.8979436866505324,0.009561377664734987
13,15000,edgetpu_latency,MLP10,only_full_features,42,100,0.9562701135649462,0.018098122608608536,0.8778249999365138,0.02012077565544775
14,15000,edgetpu_latency,MLP10,full_features_one_hot,42,100,0.9718421033824234,0.014411406651227397,0.8890498773587164,0.014461339382192658
15,15000,edgetpu_latency,MLP10,full_features_one_hot_proxies,42,100,0.9742905395640977,0.014915255842809097,0.8898356825826987,0.01310373901053894
16,15000,pixel3_latency,MLP10,only_one_hot,42,100,0.9449815398291402,0.0055674743245949735,0.8713375551164542,0.006771928822338543
17,15000,pixel3_latency,MLP10,only_full_features,42,100,0.9527374104613661,0.006316507992489117,0.8802852817372845,0.0075388315051702305
18,15000,pixel3_latency,MLP10,full_features_one_hot,42,100,0.9507648072135083,0.006150008222507772,0.8773104998343393,0.007928256910294132
19,15000,pixel3_latency,MLP10,full_features_one_hot_proxies,42,100,0.9446957501133805,0.07155903804108943,0.8787279461091139,0.007516754468611162
20,15000,eyeriss_latency,MLP10,only_one_hot,42,100,0.9996797799878593,0.00043255193991138314,0.9550462915000856,0.0025879047316632615
21,15000,eyeriss_latency,MLP10,only_full_features,42,100,0.999301202007764,0.002132526460794665,0.9548851522737556,0.0029196063543942023
22,15000,eyeriss_latency,MLP10,full_features_one_hot,42,100,0.9975879060349198,0.017165714454805886,0.9555660152343718,0.0030530987897862297
23,15000,eyeriss_latency,MLP10,full_features_one_hot_proxies,42,100,0.9988185092658288,0.003197432691317861,0.955603585736631,0.002553911824385451
24,15000,eyeriss_energy,MLP10,only_one_hot,42,100,0.9995425284735685,0.0018509679972038427,0.9724900103683035,0.00423813682627834
25,15000,eyeriss_energy,MLP10,only_full_features,42,100,0.9996171881973227,0.0007488585006518043,0.973435608240386,0.004413458926201985
26,15000,eyeriss_energy,MLP10,full_features_one_hot,42,100,0.9995112291517313,0.0014547685056353272,0.972898953230395,0.00480787134705263
27,15000,eyeriss_energy,MLP10,full_features_one_hot_proxies,42,100,0.9988706976047729,0.00401823816918403,0.9731241386439429,0.0055077099556028065
28,15000,eyeriss_arithmetic_intensity,MLP10,only_one_hot,42,100,0.9994518761878629,0.00043272556320702487,0.9739473824816344,0.003423016263191628
29,15000,eyeriss_arithmetic_intensity,MLP10,only_full_features,42,100,0.9990392785274694,0.0019372461410143984,0.9730924757223596,0.005760798613676534
30,15000,eyeriss_arithmetic_intensity,MLP10,full_features_one_hot,42,100,0.9993526497968888,0.0005240892387184049,0.9742777525516189,0.003483340758383315
31,15000,eyeriss_arithmetic_intensity,MLP10,full_features_one_hot_proxies,42,100,0.9963958876927242,0.024070962422047367,0.9738227596444986,0.003940572523056839
32,15000,fpga_latency,MLP10,only_one_hot,42,100,0.9996069711633894,0.0005813229941993643,0.9855499176860623,0.001029134036666892
33,15000,fpga_latency,MLP10,only_full_features,42,100,0.9994729648541862,0.0010258267901826924,0.9852764333871424,0.0012980003383864075
34,15000,fpga_latency,MLP10,full_features_one_hot,42,100,0.9995862257872469,0.0004743620905094392,0.9856374829920422,0.0009617932710604119
35,15000,fpga_latency,MLP10,full_features_one_hot_proxies,42,100,0.9986275647691707,0.005405537923837111,0.9852111383308145,0.001671210578473791
36,15000,fpga_energy,MLP10,only_one_hot,42,100,0.9996069711636357,0.0005813229938891546,0.9855499176860623,0.001029134036666892
37,15000,fpga_energy,MLP10,only_full_features,42,100,0.9994729648545325,0.0010258267857619413,0.9852764333871424,0.0012980003383864075
38,15000,fpga_energy,MLP10,full_features_one_hot,42,100,0.9995862257817357,0.00047436209318609473,0.9856374829920422,0.0009617932710604119
39,15000,fpga_energy,MLP10,full_features_one_hot_proxies,42,100,0.9986275647694928,0.005405537923629805,0.9852111383308145,0.001671210578473791
